Points,Strokes,Distance,Time,Speed,Acceleration,FittsValue,SigmaLogNormal,StraightPath,ConstVelocity,Class
69,1,182.3417039,844,947.3869483,0.2160446729,FALSE,FALSE,FALSE,FALSE,HUMAN
66,1,648.7853142,899,15512.45641,0.7216744318,FALSE,FALSE,FALSE,FALSE,HUMAN
95,1,870.0657449,1259,1146.986514,0.6910768427,FALSE,FALSE,FALSE,FALSE,HUMAN
67,1,933.1602705,763,1096.150078,1.223014771,FALSE,FALSE,FALSE,FALSE,HUMAN
89,1,1727.767967,1057,1820.532659,1.634595995,FALSE,FALSE,FALSE,FALSE,HUMAN
63,1,912.6220356,832,6381.018194,1.096901485,FALSE,FALSE,FALSE,FALSE,HUMAN
45,1,332.4273926,506,368.6862243,0.6569711316,FALSE,FALSE,FALSE,FALSE,HUMAN
66,1,930.5836951,752,1257.863832,1.237478318,FALSE,FALSE,FALSE,FALSE,HUMAN
125,1,2176.482102,1383,38312.89674,1.57373977,TRUE,FALSE,FALSE,FALSE,HUMAN
76,1,980.1058816,945,5380.131471,1.037149081,FALSE,FALSE,TRUE,FALSE,HUMAN
61,1,338.17877,686,322.5730971,0.4929719679,FALSE,TRUE,FALSE,FALSE,HUMAN
68,1,464.1626241,777,6354.373503,0.5973778946,FALSE,FALSE,FALSE,FALSE,HUMAN
44,1,950.8073439,482,1030.409663,1.972629344,FALSE,TRUE,FALSE,FALSE,HUMAN
64,1,487.0293188,708,400.5151448,0.687894518,FALSE,FALSE,FALSE,FALSE,HUMAN
126,1,1543.54066,1440,30712.08247,1.071903236,TRUE,FALSE,FALSE,FALSE,HUMAN
53,1,569.0728451,584,17285.31147,0.9744398033,FALSE,FALSE,FALSE,FALSE,HUMAN
73,1,1011.371251,798,1061.568479,1.26738252,FALSE,FALSE,FALSE,FALSE,HUMAN
63,1,758.3393677,811,32761.80285,0.9350670378,FALSE,FALSE,FALSE,FALSE,HUMAN
121,2,4079.757235,2732,3705.113352,1.49332256,TRUE,TRUE,FALSE,FALSE,HUMAN
43,1,1058.777431,505,1981.809161,2.096588972,FALSE,FALSE,FALSE,FALSE,HUMAN
77,1,939.1998017,844,2039.824656,1.112795974,FALSE,FALSE,FALSE,FALSE,HUMAN
49,1,365.0868018,801,446.1088916,0.4557887662,FALSE,FALSE,FALSE,FALSE,HUMAN
57,1,814.7120954,641,4056.440198,1.271001709,FALSE,FALSE,FALSE,FALSE,HUMAN
68,1,566.7183046,957,6340.042507,0.5921821365,FALSE,FALSE,FALSE,FALSE,HUMAN
46,1,497.9006497,540,796.7179981,0.9220382402,FALSE,TRUE,FALSE,FALSE,HUMAN
51,1,353.1388604,640,7267.731715,0.5517794693,FALSE,TRUE,FALSE,FALSE,HUMAN
121,2,1183.39455,2306,27724.38392,0.5131806376,TRUE,FALSE,TRUE,FALSE,HUMAN
62,1,1050.82407,688,833.2401303,1.527360567,FALSE,FALSE,FALSE,FALSE,HUMAN
92,1,181.3867086,2093,235.4674427,0.08666350147,TRUE,TRUE,FALSE,FALSE,HUMAN
126,1,1333.231333,2102,968.7820512,0.6342679985,TRUE,FALSE,FALSE,FALSE,HUMAN
60,1,855.1178377,1554,1344.039714,0.5502688788,TRUE,FALSE,FALSE,FALSE,HUMAN
77,1,815.4133193,877,557.5785174,0.9297757346,FALSE,FALSE,FALSE,FALSE,HUMAN
104,1,3448.087269,2431,2764.477886,1.418382258,FALSE,FALSE,FALSE,FALSE,HUMAN
67,1,675.5555321,754,21662.87995,0.8959622441,FALSE,FALSE,FALSE,FALSE,HUMAN
64,1,231.629575,1047,2653.502415,0.2212316857,FALSE,TRUE,FALSE,FALSE,HUMAN
70,1,524.6608873,844,1175.088969,0.6216361224,FALSE,FALSE,FALSE,FALSE,HUMAN
90,1,513.4270122,1013,495.3215697,0.5068381166,FALSE,FALSE,FALSE,FALSE,HUMAN
74,1,759.5737506,854,12303.3304,0.8894306213,FALSE,FALSE,FALSE,FALSE,HUMAN
153,2,3319.256677,3847,15799.88925,0.8628169162,FALSE,FALSE,FALSE,FALSE,HUMAN
43,1,748.5609433,483,7684.982575,1.549815618,FALSE,FALSE,FALSE,FALSE,HUMAN
59,1,318.2847615,698,258.9658088,0.4559953603,FALSE,FALSE,FALSE,FALSE,HUMAN
135,2,3985.187329,3247,2651.538463,1.227344419,FALSE,TRUE,FALSE,FALSE,HUMAN
67,1,1181.947856,753,13714.65162,1.569651867,FALSE,FALSE,FALSE,FALSE,HUMAN
53,1,560.2873974,607,10175.3403,0.9230434883,FALSE,FALSE,FALSE,FALSE,HUMAN
44,1,555.6815905,496,7135.241477,1.120325787,FALSE,TRUE,FALSE,FALSE,HUMAN
73,2,1439.061141,1901,1535.224215,0.7570021782,TRUE,TRUE,FALSE,FALSE,HUMAN
53,1,1052.025822,618,34096.42699,1.702307155,FALSE,FALSE,FALSE,FALSE,HUMAN
555,7,8403.373157,11779,15053.03271,0.7134199131,TRUE,FALSE,TRUE,FALSE,HUMAN
91,1,619.3091778,1733,8264.08582,0.35736248,FALSE,FALSE,FALSE,FALSE,HUMAN
37,1,405.7231266,393,1268.711281,1.032374368,FALSE,TRUE,FALSE,FALSE,HUMAN
74,1,1124.519786,887,957.6294319,1.267778789,FALSE,FALSE,FALSE,FALSE,HUMAN
49,1,705.2133972,564,10928.73592,1.250378364,FALSE,TRUE,FALSE,FALSE,HUMAN
71,1,791.4780386,821,920.8539031,0.9640414599,FALSE,FALSE,FALSE,FALSE,HUMAN
82,1,958.0755427,1045,17783.85877,0.9168187011,FALSE,FALSE,FALSE,FALSE,HUMAN
70,1,1800.401568,778,34864.97974,2.314140833,FALSE,FALSE,FALSE,FALSE,HUMAN
38,1,417.0615773,472,10466.6579,0.8836050366,FALSE,TRUE,FALSE,FALSE,HUMAN
85,1,855.6750095,933,8958.390958,0.9171221967,FALSE,FALSE,FALSE,FALSE,HUMAN
44,1,207.8992003,573,5173.535623,0.3628258295,FALSE,TRUE,FALSE,FALSE,HUMAN
153,2,997.8073978,1778,898.5280151,0.5611965117,TRUE,FALSE,TRUE,FALSE,HUMAN
60,1,636.4141848,910,863.0930202,0.699356247,TRUE,FALSE,FALSE,FALSE,HUMAN
114,1,1367.346183,1272,588.227626,1.074957691,TRUE,FALSE,FALSE,FALSE,HUMAN
52,1,1884.336439,900,41798.3579,2.093707154,FALSE,FALSE,FALSE,FALSE,HUMAN
100,1,1066.193579,1271,964.4252281,0.8388619819,TRUE,FALSE,FALSE,FALSE,HUMAN
44,1,628.2456975,484,29409.45512,1.298028301,FALSE,FALSE,TRUE,FALSE,HUMAN
94,1,943.6341525,1134,10334.61612,0.8321288822,FALSE,FALSE,TRUE,FALSE,HUMAN
47,1,505.8097312,574,766.6301269,0.8812016223,TRUE,TRUE,FALSE,FALSE,HUMAN
116,2,2391.682623,3666,1604.874492,0.6523956964,FALSE,TRUE,FALSE,FALSE,HUMAN
63,1,695.0020912,697,4583.851997,0.9971335598,FALSE,FALSE,FALSE,FALSE,HUMAN
151,1,2190.271192,1745,14669.01387,1.255169738,TRUE,FALSE,FALSE,FALSE,HUMAN
91,1,766.7690402,1167,2664.387042,0.6570428793,TRUE,FALSE,FALSE,FALSE,HUMAN
49,1,176.1791003,539,295.1843447,0.3268628947,TRUE,TRUE,FALSE,FALSE,HUMAN
116,1,565.7189877,1563,892.3382593,0.36194433,FALSE,TRUE,FALSE,FALSE,HUMAN
59,1,260.068834,675,411.2308073,0.3852871615,FALSE,TRUE,FALSE,FALSE,HUMAN
80,1,2384.398754,979,2357.0954,2.435545204,FALSE,FALSE,FALSE,FALSE,HUMAN
88,1,1380.729832,967,4604.054589,1.427848844,FALSE,FALSE,FALSE,FALSE,HUMAN
67,1,309.3691918,778,4483.217592,0.3976467761,FALSE,TRUE,FALSE,FALSE,HUMAN
80,1,967.0703904,1182,15747.2122,0.8181644589,TRUE,FALSE,FALSE,FALSE,HUMAN
42,1,974.6422612,517,4505.695505,1.885188126,FALSE,TRUE,TRUE,FALSE,HUMAN
50,1,235.8501399,573,8978.831892,0.4116058288,FALSE,FALSE,FALSE,FALSE,HUMAN
69,1,2112.001512,1182,1840.53004,1.78680331,TRUE,FALSE,FALSE,FALSE,HUMAN
106,2,1092.988395,1779,14300.7747,0.6143835833,FALSE,FALSE,TRUE,FALSE,HUMAN
83,1,1018.855516,1887,819.4303913,0.5399340306,TRUE,TRUE,FALSE,FALSE,HUMAN
56,1,434.78318,664,416.508227,0.6547939459,FALSE,TRUE,FALSE,FALSE,HUMAN
58,1,690.5419239,732,39642.923,0.943363284,FALSE,FALSE,FALSE,FALSE,HUMAN
74,1,844.395518,843,1047.589302,1.001655419,FALSE,FALSE,FALSE,FALSE,HUMAN
51,1,840.6205306,1002,3606.04783,0.8389426453,TRUE,TRUE,FALSE,FALSE,HUMAN
35,1,1596.057978,946,513.8022737,1.687164882,FALSE,TRUE,FALSE,FALSE,HUMAN
68,1,840.9316143,834,21165.60865,1.008311288,FALSE,FALSE,FALSE,FALSE,HUMAN
67,1,594.9640158,799,618.1523083,0.7446358145,FALSE,FALSE,TRUE,FALSE,HUMAN
39,1,566.6386884,461,23343.70749,1.229151168,FALSE,TRUE,FALSE,FALSE,HUMAN
212,1,672.3245446,2756,6242.429503,0.2439493994,TRUE,FALSE,TRUE,FALSE,HUMAN
43,1,1145.927458,1430,1175.32632,0.8013478725,TRUE,TRUE,FALSE,FALSE,HUMAN
98,1,911.0441729,1361,19465.66792,0.6693932204,FALSE,TRUE,FALSE,FALSE,HUMAN
51,1,883.1658878,585,1207.485922,1.509685278,FALSE,FALSE,FALSE,FALSE,HUMAN
60,1,412.645759,697,5796.537057,0.592031218,FALSE,FALSE,FALSE,FALSE,HUMAN
95,2,2597.420456,3456,2794.857657,0.7515684191,TRUE,FALSE,FALSE,FALSE,HUMAN
102,1,1233.531449,1372,1235.234733,0.8990753999,TRUE,FALSE,FALSE,FALSE,HUMAN
71,1,626.0587804,922,567.1112846,0.6790225384,FALSE,FALSE,FALSE,FALSE,HUMAN
56,1,515.0308344,674,24163.35349,0.7641407038,FALSE,TRUE,FALSE,FALSE,HUMAN
75,1,843.388513,1317,15503.50717,0.6403861147,FALSE,FALSE,FALSE,FALSE,HUMAN
63,1,384.7061734,774,371.6115824,0.4970363997,FALSE,TRUE,FALSE,FALSE,HUMAN
97,1,918.7011139,1295,1037.415317,0.7094217095,TRUE,FALSE,FALSE,FALSE,HUMAN
83,1,729.5550354,1877,547.3119919,0.3886814253,FALSE,FALSE,FALSE,FALSE,HUMAN
51,1,354.2173398,609,613.872374,0.581637668,TRUE,FALSE,FALSE,FALSE,HUMAN
64,1,371.1561959,699,983.5624842,0.5309816822,FALSE,FALSE,FALSE,FALSE,HUMAN
96,1,1071.219811,1125,3248.382529,0.9521953873,FALSE,FALSE,FALSE,FALSE,HUMAN
139,2,1451.577631,2744,43169.58032,0.5290005944,TRUE,FALSE,FALSE,FALSE,HUMAN
77,1,3046.500868,13932,189.0479458,0.218669313,TRUE,TRUE,FALSE,FALSE,BOT
62,1,6765.713639,10668,17449.00374,0.6342063778,TRUE,TRUE,FALSE,FALSE,BOT
469,5,29303.16692,87016,469507.5572,0.3367560785,TRUE,TRUE,FALSE,FALSE,BOT
92,1,6299.324295,16986,23814.13887,0.370853897,TRUE,TRUE,FALSE,FALSE,BOT
60,1,564.5156035,4433,146.7137533,0.1273439214,TRUE,TRUE,TRUE,FALSE,BOT
149,2,11162.35184,26082,27753.41306,0.4279714684,TRUE,TRUE,FALSE,FALSE,BOT
75,1,7720.00432,12884,27150.18128,0.5991931326,TRUE,TRUE,FALSE,FALSE,BOT
35,1,2188.978287,6216,206.4145331,0.3521522341,TRUE,TRUE,FALSE,FALSE,BOT
316,5,23356.28886,58699,13755.74651,0.3978992634,TRUE,TRUE,FALSE,FALSE,BOT
165,2,7156.695514,30682,6067.492698,0.233253879,TRUE,TRUE,FALSE,FALSE,BOT
102,1,1068.394814,7133,163.1480276,0.1497819731,TRUE,FALSE,TRUE,FALSE,BOT
247,5,2647.340319,17316,257.2018232,0.1528840563,TRUE,FALSE,TRUE,FALSE,BOT
224,4,16512.42145,43480,848507.9327,0.3797705025,TRUE,TRUE,FALSE,FALSE,BOT
183,2,12105.30666,32917,22221.44769,0.3677524275,TRUE,TRUE,FALSE,FALSE,BOT
912,12,10569.33618,69132,463.7127528,0.1528863071,TRUE,FALSE,TRUE,FALSE,BOT
74,2,7984.520377,13733,26349.66741,0.5814112268,TRUE,TRUE,FALSE,FALSE,BOT
156,3,1628.619105,11298,196.924625,0.144151098,TRUE,FALSE,TRUE,FALSE,BOT
246,4,1747.624242,17450,126.5938198,0.1001503863,TRUE,FALSE,TRUE,FALSE,BOT
60,1,6360.26598,10916,15170.77975,0.5826553664,TRUE,TRUE,FALSE,FALSE,BOT
586,9,5187.406861,42949,245.2895832,0.1207806203,TRUE,FALSE,TRUE,FALSE,BOT
684,11,7854.210256,50900,328.7653899,0.1543066848,TRUE,FALSE,TRUE,FALSE,BOT
165,1,16134.49839,29235,76550.83185,0.5518898029,TRUE,TRUE,FALSE,FALSE,BOT
409,7,2398.045006,29931,97.78539374,0.0801191075,TRUE,FALSE,TRUE,FALSE,BOT
40,1,2218.631245,7501,282.4945294,0.2957780622,TRUE,TRUE,FALSE,FALSE,BOT
294,5,4066.061299,22632,428.9523502,0.1796598311,TRUE,FALSE,TRUE,FALSE,BOT
86,1,3478.064917,15102,241.2289221,0.230304921,TRUE,TRUE,FALSE,FALSE,BOT
1963,30,20690.32944,145014,584.442701,0.1426781514,TRUE,FALSE,TRUE,FALSE,BOT
60,1,201.3300084,4516,41.813278,0.0445814899,TRUE,TRUE,TRUE,FALSE,BOT
166,1,13996.06865,30765,426365.5852,0.4549347847,TRUE,TRUE,FALSE,FALSE,BOT
243,6,17616.4887,44887,784448.1523,0.392463045,TRUE,TRUE,FALSE,FALSE,BOT
302,2,18845.17493,53232,969908.752,0.3540196673,TRUE,TRUE,FALSE,FALSE,BOT
194,2,16695.83426,35901,981125.3829,0.4650520672,TRUE,TRUE,FALSE,FALSE,BOT
116,3,987.6606802,8666,203.3468762,0.1139696146,TRUE,FALSE,TRUE,FALSE,BOT
59,1,4883.942769,10301,73637.5119,0.4741231695,TRUE,TRUE,FALSE,FALSE,BOT
55,1,4444.908831,9152,10466.21425,0.4856762271,TRUE,TRUE,FALSE,FALSE,BOT
131,3,1497.714225,9651,302.5392561,0.1551874651,TRUE,FALSE,TRUE,FALSE,BOT
102,1,10283.08351,19915,551584.5042,0.5163486575,TRUE,TRUE,FALSE,FALSE,BOT
231,4,1949.390569,16417,137.0986734,0.1187421922,TRUE,FALSE,TRUE,FALSE,BOT
123,1,8505.220883,22250,506529.3177,0.3822571183,TRUE,TRUE,FALSE,FALSE,BOT
248,5,1965.375174,17684,232.6467422,0.1111386097,TRUE,FALSE,TRUE,FALSE,BOT
349,6,2715.040214,25950,335.0275887,0.1046258271,TRUE,FALSE,TRUE,FALSE,BOT
37,1,2831.327503,7102,292.5407466,0.3986662213,TRUE,TRUE,FALSE,FALSE,BOT
83,2,658.6404544,5700,106.8638039,0.1155509569,TRUE,FALSE,TRUE,FALSE,BOT
259,5,21663.46024,45949,91452.98101,0.4714675019,TRUE,TRUE,FALSE,FALSE,BOT
249,5,16991.09943,43700,56848.38318,0.3888123439,TRUE,TRUE,FALSE,FALSE,BOT
175,3,2309.384298,12516,357.8219226,0.1845145652,TRUE,FALSE,TRUE,FALSE,BOT
96,2,2268.746164,6900,308.6445628,0.3288037918,TRUE,FALSE,TRUE,FALSE,BOT
129,1,11449.30577,22251,37397.14766,0.5145524142,TRUE,TRUE,FALSE,FALSE,BOT
227,3,16607.46816,39434,1012710.479,0.4211459188,TRUE,TRUE,FALSE,FALSE,BOT
250,4,1304.398851,19017,202.6940932,0.06859120001,TRUE,FALSE,TRUE,FALSE,BOT
171,3,10170.51098,31982,392.021877,0.3180073474,TRUE,TRUE,FALSE,FALSE,BOT
126,2,1103.190959,9017,113.2523927,0.1223456758,TRUE,FALSE,TRUE,FALSE,BOT
115,2,7903.038796,19316,13643.50776,0.4091446881,TRUE,TRUE,FALSE,FALSE,BOT
1137,20,9276.66223,84165,228.6026343,0.1102199516,TRUE,FALSE,TRUE,FALSE,BOT
92,2,764.6168613,6598,270.6426822,0.1158861566,TRUE,FALSE,TRUE,FALSE,BOT
269,4,4267.356763,20699,332.6511875,0.2061624602,TRUE,FALSE,TRUE,FALSE,BOT
474,1,8409.051727,292,279834.658,28.79812235,TRUE,TRUE,FALSE,TRUE,BOT
395,1,2395.721483,212,61835.83582,11.30057303,TRUE,TRUE,FALSE,TRUE,BOT
60,1,741.5722803,34,41421.29173,21.81094942,TRUE,TRUE,FALSE,TRUE,BOT
274,1,3579.215105,179,87194.01546,19.99561511,TRUE,FALSE,FALSE,TRUE,BOT
